player_name,pos,team,projection1,projection2
Dolphins,D/ST,Dolphins,64,64
Steelers,D/ST,Steelers,108,108
Washington,D/ST,Washington,77,77
Rams,D/ST,Rams,79,79
Seahawks,D/ST,Seahawks,20,20
Browns,D/ST,Browns,63,63
Giants,D/ST,Giants,56,56
Packers,D/ST,Packers,40,40
Saints,D/ST,Saints,83,83
Colts,D/ST,Colts,111,111
Broncos,D/ST,Broncos,45,45
Bengals,D/ST,Bengals,8,8
Jets,D/ST,Jets,13,13
Cardinals,D/ST,Cardinals,44,44
Panthers,D/ST,Panthers,34,34
Cowboys,D/ST,Cowboys,11,11
Vikings,D/ST,Vikings,20,20
Jaguars,D/ST,Jaguars,11,11
Ravens,D/ST,Ravens,85,85
Bears,D/ST,Bears,60,60
Eagles,D/ST,Eagles,66,66
Bills,D/ST,Bills,39,39
Texans,D/ST,Texans,21,21
49ers,D/ST,49ers,48,48
Lions,D/ST,Lions,12,12
Falcons,D/ST,Falcons,9,9
Raiders,D/ST,Raiders,9,9
Chargers,D/ST,Chargers,41,41
Chiefs,D/ST,Chiefs,59,59
Titans,D/ST,Titans,24,24
Patriots,D/ST,Patriots,50,50
Buccaneers,D/ST,Buccaneers,84,84
