player_name,pos,team,projection
Patrick Mahomes,QB,Chiefs,340.97
Lamar Jackson,QB,Ravens,339.52
Deshaun Watson,QB,Texans,319.41
Dak Prescott,QB,Cowboys,301.28
Kyler Murray,QB,Cardinals,299.65
Russell Wilson,QB,Seahawks,294.26
Tom Brady,QB,Buccaneers,290.31
Matt Ryan,QB,Falcons,282.96
Josh Allen,QB,Bills,273.18
Drew Brees,QB,Saints,268.68
Matthew Stafford,QB,Lions,267.53
Carson Wentz,QB,Eagles,266.72
Aaron Rodgers,QB,Packers,264.22
Cam Newton,QB,Patriots,259.13
Daniel Jones,QB,Giants,248.82
Jared Goff,QB,Rams,243.54
Ben Roethlisberger,QB,Steelers,240.74
Ryan Tannehill,QB,Titans,239.16
Derek Carr,QB,Raiders,237.41
Jimmy Garoppolo,QB,49ers,233.72
Joe Burrow,QB,Bengals,232.47
Drew Lock,QB,Broncos,232.18
Kirk Cousins,QB,Vikings,229.74
Gardner Minshew II,QB,Jaguars,227.86
Philip Rivers,QB,Colts,224.71
Baker Mayfield,QB,Browns,223.93
Sam Darnold,QB,Jets,222.96
Dwayne Haskins Jr.,QB,FA,206.94
Teddy Bridgewater,QB,Panthers,205.88
Tua Tagovailoa,QB,Dolphins,180.14
Justin Herbert,QB,Chargers,159.08
Mitchell Trubisky,QB,Bears,140.26
Nick Foles,QB,Bears,101.75
Tyrod Taylor,QB,Chargers,89.61
Ryan Fitzpatrick,QB,Dolphins,72.83
Taysom Hill,QB,Saints,72.73
P.J. Walker,QB,Panthers,36.54
Mason Rudolph,QB,Steelers,27.16
Jalen Hurts,QB,Eagles,26.51
Case Keenum,QB,Browns,24.18
Jake Luton,QB,Jaguars,22.64
Alex Smith,QB,FA,22.01
Blaine Gabbert,QB,Buccaneers,19.89
Jameis Winston,QB,Saints,18.73
Matt Barkley,QB,Bills,18.72
Jacoby Brissett,QB,Colts,18.27
Jarrett Stidham,QB,Patriots,17.65
Robert Griffin III,QB,Ravens,13.85
Matt Schaub,QB,Falcons,13.41
Brett Hundley,QB,Cardinals,11.9
Chase Daniel,QB,Lions,11.73
Geno Smith,QB,Seahawks,11.69
Colt McCoy,QB,Giants,11.63
Chad Henne,QB,Chiefs,11.53
Andy Dalton,QB,Cowboys,11.18
Jeff Driskel,QB,Broncos,10.96
AJ McCarron,QB,Texans,10.95
Nick Mullens,QB,49ers,10.47
Ryan Finley,QB,Bengals,10.37
John Wolford,QB,Rams,10.05
Nathan Peterman,QB,Raiders,9.17
Logan Woodside,QB,Titans,9.09
Joe Flacco,QB,Jets,8.71
Sean Mannion,QB,Vikings,7.99
Jordan Love,QB,Packers,5.42
Kyle Allen,QB,FA,5.35
Tim Boyle,QB,Packers,4.67
James Morgan,QB,Jets,1.88
Marcus Mariota,QB,Raiders,0
Mike Glennon,QB,Jaguars,0
C.J. Beathard,QB,49ers,0
Ben DiNucci,QB,Cowboys,0
Brett Rypien,QB,Broncos,0
Brian Hoyer,QB,Patriots,0
Easton Stick,QB,Chargers,0
Jake Fromm,QB,Bills,0
Jacob Eason,QB,Colts,0
Trace McSorley,QB,Ravens,0
Will Grier,QB,Panthers,0
Nate Sudfeld,QB,Eagles,0
Joshua Dobbs,QB,Steelers,0
Ryan Griffin,QB,Buccaneers,0
David Blough,QB,Lions,0
Garrett Gilbert,QB,Cowboys,0
Blake Bortles,QB,Broncos,0
Nick Fitzgerald,QB,FA,0
Devlin Hodges,QB,Steelers,0
Nate Stanley,QB,Vikings,0
Anthony Gordon,QB,FA,0
Cole McDonald,QB,FA,0
Alex McGough,QB,FA,0
DeShone Kizer,QB,Titans,0
Clayton Thorson,QB,FA,0
Tyree Jackson,QB,Bills,0
Josh Rosen,QB,Buccaneers,0
Luke Falk,QB,Jets,0
Danny Etling,QB,FA,0
Davis Webb,QB,Bills,0
Paxton Lynch,QB,FA,0
Kyle Lauletta,QB,FA,0
