player_name,pos,team,projection
Travis Kelce,TE,Chiefs,254.3
George Kittle,TE,49ers,222.5
Mark Andrews,TE,Ravens,207.2
Zach Ertz,TE,Eagles,215.6
Darren Waller,TE,Raiders,221
Evan Engram,TE,Giants,109.4
Tyler Higbee,TE,Rams,160.4
Jared Cook,TE,Saints,167.5
Hunter Henry,TE,Chargers,150.2
Noah Fant,TE,Broncos,111
Hayden Hurst,TE,Falcons,76.9
T.J. Hockenson,TE,Lions,80.7
Mike Gesicki,TE,Dolphins,136
Chris Herndon,TE,Jets,1.7
Jack Doyle,TE,Colts,111.8
Austin Hooper,TE,Browns,191.7
Dallas Goedert,TE,Eagles,144.7
Eric Ebron,TE,Steelers,86.5
Blake Jarwin,TE,Cowboys,85.5
Jonnu Smith,TE,Titans,104.7
Irv Smith Jr.,TE,Vikings,79.1
Jimmy Graham,TE,Bears,100.7
Tyler Eifert,TE,Jaguars,106.6
Ian Thomas,TE,Panthers,35.6
Jordan Akins,TE,Texans,89.8
Dawson Knox,TE,Bills,79.7
Will Dissly,TE,Seahawks,73.9
C.J. Uzomah,TE,Bengals,63.2
Kyle Rudolph,TE,Vikings,113.7
Dan Arnold,TE,Cardinals,32.7
Jace Sternberger,TE,Packers,0
Nick Boyle,TE,Ravens,75.1
Logan Thomas,TE,FA,39.3
Greg Olsen,TE,Seahawks,123.7
Gerald Everett,TE,Rams,89.8
Darren Fells,TE,Texans,110.1
O.J. Howard,TE,Buccaneers,83.9
Vance McDonald,TE,Steelers,83.5
Anthony Firkser,TE,Titans,40.4
James O'Shaughnessy,TE,Jaguars,41.3
Jeremy Sprinkle,TE,FA,56.1
Jesse James,TE,Lions,30.2
Drew Sample,TE,Bengals,8
David Njoku,TE,Browns,15.1
Trey Burton,TE,Colts,22.4
Robert Tonyan,TE,Packers,26
Josh Hill,TE,Saints,65.6
Dalton Schultz,TE,Cowboys,1.6
Cameron Brate,TE,Buccaneers,91.1
Foster Moreau,TE,Raiders,68.4
Kaden Smith,TE,Giants,75.8
Mo Alie-Cox,TE,Colts,17.3
Ryan Griffin,TE,Jets,98
Tyler Kroft,TE,Bills,19.1
Virgil Green,TE,Chargers,22.8
Luke Stocker,TE,Falcons,13.3
Maxx Williams,TE,Cardinals,41.2
Blake Bell,TE,Cowboys,14.7
Marcedes Lewis,TE,Packers,36.6
Demetrius Harris,TE,Bears,47.9
MyCole Pruitt,TE,Titans,21
Jaeden Graham,TE,Falcons,29.9
Chris Manhertz,TE,Panthers,2.1
Jason Witten,TE,Raiders,139.9
Ryan Izzo,TE,Patriots,23.4
Tyler Conklin,TE,Vikings,13.8
Jacob Hollister,TE,Seahawks,93.9
Durham Smythe,TE,Dolphins,13.5
Nick Vannett,TE,Broncos,33.6
Andrew Beck,TE,Broncos,24.54
Levine Toilolo,TE,Giants,3
Zach Gentry,TE,Steelers,1.4
Johnny Mundt,TE,Rams,6.6
Richard Rodgers,TE,Eagles,0
Darrell Daniels,TE,Cardinals,1.4
Derek Carrier,TE,Raiders,32.5
Trevon Wesco,TE,Jets,6.9
Daniel Brown,TE,Jets,20.2
Ross Dwelley,TE,49ers,36.1
Lee Smith,TE,Bills,13.1
Geoff Swaim,TE,Titans,19.5
Antony Auclair,TE,Buccaneers,2.1
Adam Shaheen,TE,Dolphins,16.4
Eric Saubert,TE,Jaguars,4.1
J.P. Holtz,TE,Bears,16.1
