player_name,pos,team,projection1,projection2
Michael Thomas,WR,Saints,374.6,374.6
Davante Adams,WR,Packers,212.7,212.7
Julio Jones,WR,Falcons,274.1,274.1
Tyreek Hill,WR,Chiefs,188.3,188.3
DeAndre Hopkins,WR,Cardinals,268.54,268.54
Chris Godwin,WR,Buccaneers,276.1,276.1
Adam Thielen,WR,Vikings,114.4,114.4
DJ Moore,WR,Panthers,230.5,230.5
Mike Evans,WR,Buccaneers,232.7,232.7
Allen Robinson II,WR,Bears,254.9,254.9
JuJu Smith-Schuster,WR,Steelers,113.2,113.2
Amari Cooper,WR,Cowboys,246.5,246.5
Robert Woods,WR,Rams,232.9,232.9
Will Fuller V,WR,Texans,134,134
Calvin Ridley,WR,Falcons,197,197
Tyler Lockett,WR,Seahawks,235.2,235.2
Odell Beckham Jr.,WR,Browns,201.3,201.3
Cooper Kupp,WR,Rams,270.5,270.5
A.J. Brown,WR,Titans,217.1,217.1
Keenan Allen,WR,Chargers,261.5,261.5
T.Y. Hilton,WR,Colts,125.1,125.1
Kenny Golladay,WR,Lions,248,248
Terry McLaurin,WR,FA,191.9,191.9
Jarvis Landry,WR,Browns,237.4,237.4
DJ Chark Jr.,WR,Jaguars,225.8,225.8
Courtland Sutton,WR,Broncos,222.42,222.42
DeVante Parker,WR,Dolphins,246.2,246.2
Michael Gallup,WR,Cowboys,212.7,212.7
DK Metcalf,WR,Seahawks,187.1,187.1
Sterling Shepard,WR,Giants,141.8,141.8
Marvin Jones Jr.,WR,Lions,193.9,193.9
Tyler Boyd,WR,Bengals,222.9,222.9
Julian Edelman,WR,Patriots,256.28,256.28
Jamison Crowder,WR,Jets,197.7,197.7
Marquise Brown,WR,Ravens,146.4,146.4
Stefon Diggs,WR,Bills,212.1,212.1
Deebo Samuel,WR,49ers,189.1,189.1
Diontae Johnson,WR,Steelers,163.1,163.1
Christian Kirk,WR,Cardinals,168.2,168.2
Preston Williams,WR,Dolphins,90.8,90.8
Robby Anderson,WR,Panthers,162.3,162.3
Emmanuel Sanders,WR,Saints,190.3,190.3
Golden Tate,WR,Giants,152.2,152.2
John Brown,WR,Bills,219.82,219.82
Sammy Watkins,WR,Chiefs,138.5,138.5
Darius Slayton,WR,Giants,170,170
Brandin Cooks,WR,Texans,117.5,117.5
Breshad Perriman,WR,Jets,138.1,138.1
Curtis Samuel,WR,Panthers,171.7,171.7
N'Keal Harry,WR,Patriots,39.4,39.4
Mike Williams,WR,Chargers,161.3,161.3
Steven Sims Jr.,WR,FA,109.5,109.5
DeSean Jackson,WR,Eagles,36.9,36.9
Larry Fitzgerald,WR,Cardinals,177.4,177.4
Cole Beasley,WR,Bills,184.8,184.8
Anthony Miller,WR,Bears,127.5,127.5
Danny Amendola,WR,Lions,140.56,140.56
Alshon Jeffery,WR,Eagles,122.2,122.2
Allen Lazard,WR,Packers,102.8,102.8
Russell Gage,WR,Falcons,98.8,98.8
Hunter Renfrow,WR,Raiders,133.5,133.5
Parris Campbell,WR,Colts,38.1,38.1
Jakeem Grant,WR,Dolphins,45.9,45.9
Corey Davis,WR,Titans,115.1,115.1
Randall Cobb,WR,Texans,154.9,154.9
Adam Humphries,WR,Titans,86.5,86.5
Chris Conley,WR,Jaguars,156.5,156.5
Demarcus Robinson,WR,Chiefs,100.9,100.9
Dede Westbrook,WR,Jaguars,156.7,156.7
Damiere Byrd,WR,Patriots,71.9,71.9
Marquez Valdes-Scantling,WR,Packers,84.1,84.1
James Washington,WR,Steelers,133.5,133.5
Scotty Miller,WR,Buccaneers,40.6,40.6
Ted Ginn Jr.,WR,FA,85.9,85.9
Miles Boykin,WR,Ravens,50.8,50.8
Willie Snead IV,WR,Ravens,95.1,95.1
Isaiah Ford,WR,Patriots,48.5,48.5
Andy Isabella,WR,Cardinals,35.4,35.4
Mecole Hardman,WR,Chiefs,119.5,119.5
Dontrelle Inman,WR,FA,30.1,30.1
Jakobi Meyers,WR,Patriots,61.9,61.9
John Ross III,WR,Bengals,95,95
Josh Reynolds,WR,Rams,61.9,61.9
Phillip Dorsett II,WR,Seahawks,100.8,100.8
Kenny Stills,WR,Texans,120.1,120.1
Chris Hogan,WR,Jets,14.7,14.7
Josh Gordon,WR,Seahawks,73.7,73.7
Tre'Quan Smith,WR,Saints,71.4,71.4
Bisi Johnson,WR,Vikings,79,79
Nelson Agholor,WR,Raiders,94,94
Zach Pascal,WR,Colts,135.3,135.3
Kendrick Bourne,WR,49ers,97.8,97.8
DaeSean Hamilton,WR,Broncos,63.7,63.7
Christian Blake,WR,Falcons,20.1,20.1
David Moore,WR,Seahawks,59.6,59.6
Justin Watson,WR,Buccaneers,42.9,42.9
Rashard Higgins,WR,Browns,15.5,15.5
Jamal Agnew,WR,Lions,11.7,11.7
Gunner Olszewski,WR,Patriots,3.4,3.4
Jalen Guyton,WR,Chargers,0,0
Kalif Raymond,WR,Titans,29.5,29.5
Olamide Zaccheaus,WR,Falcons,20.5,20.5
Tim Patrick,WR,Broncos,37.8,37.8
Pharoh Cooper,WR,Panthers,55.5,55.5
Deonte Harris,WR,Saints,15.5,15.5
Greg Ward,WR,Eagles,59.9,59.9
Auden Tate,WR,Bengals,101.5,101.5
Javon Wims,WR,Bears,42.6,42.6
KeeSean Johnson,WR,Cardinals,46,46
Lynn Bowden Jr.,WR,Dolphins,46,46
Keelan Cole Sr.,WR,Jaguars,78.7,78.7
Isaiah McKenzie,WR,Bills,63.3,63.3
Cedrick Wilson,WR,Cowboys,9.6,9.6
DeAndre Carter,WR,Bears,25.2,25.2
Trent Sherfield,WR,Cardinals,12,12
Riley Ridley,WR,Bears,12.9,12.9
Jason Moore,WR,Chargers,6.3,6.3
KhaDarel Hodge,WR,Browns,11.6,11.6
Tajae Sharpe,WR,Vikings,81.9,81.9
Zay Jones,WR,Raiders,48.9,48.9
J.J. Arcega-Whiteside,WR,Eagles,32.9,32.9
Braxton Berrios,WR,Jets,15.5,15.5
Jaydon Mickens,WR,Buccaneers,0,0
Marvin Hall,WR,Lions,39.8,39.8
Keith Kirkwood,WR,Panthers,0,0
Richie James,WR,49ers,26.4,26.4
Andre Roberts,WR,Bills,5.7,5.7
Dante Pettis,WR,Giants,34.54,34.54
Byron Pringle,WR,Chiefs,35,35
Mack Hollins,WR,Dolphins,22.5,22.5
Seth Roberts,WR,FA,60.1,60.1
Malik Turner,WR,Cowboys,45.5,45.5
Diontae Spencer,WR,Broncos,7.7,7.7
C.J. Board,WR,Giants,5.1,5.1
Damion Ratley,WR,FA,38,38
Rico Gafford,WR,Raiders,14.6,14.6
Cody Hollister,WR,Titans,3.3,3.3
Mike Thomas,WR,Bengals,3.4,3.4
Chris Moore,WR,Ravens,5.1,5.1
Nsimba Webster,WR,Rams,0,0
Ray-Ray McCloud,WR,Steelers,-2,-2
Alex Erickson,WR,Bengals,96.24,96.24
Brandon Zylstra,WR,Panthers,18.6,18.6
Chad Beebe,WR,Vikings,9,9
Ashton Dulin,WR,Colts,3.7,3.7
JoJo Natson,WR,Browns,0,0
Travis Fulgham,WR,Eagles,0,0
Jeff Smith,WR,Jets,2.2,2.2
Marcus Johnson,WR,Colts,56.7,56.7
Cam Sims,WR,FA,4.7,4.7
Robert Foster,WR,FA,12.3,12.3
Bennie Fowler,WR,Saints,46.3,46.3
Darrius Shepherd,WR,Packers,-0.9,-0.9
